,STER
Price/Earnings (TTM),44.01245
Price/Sales (TTM),1.67423
Price/Book (MRQ),1.71492
Price/Cash Flow (TTM),11.97684
5yr Low,12.22
5yr High,28.99
5yr Avg Return,-0.3059
Short Int Current Month,1183040.0
Short Int Prev Month,1243296.0
Short Int Pct of Float,0.014064799999999999
Days to Cover,5.14155
Float,73.04189
Shares Outstanding,97.06375
Institutions Holding Shares,125.0
% Held by Institutions,0.23827500000000001
FCF Growth 5yr,-4.316435854911231
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
