,ECVT
% Above Low,0.10980000000000001
% Held by Institutions,0.6023
52-Wk Range,['8.20 - 12.05']
Annual Dividend $,
Annual Dividend %,
Ask,13.85
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,8.11
Bid Size,200.0
Closing Price,9.1
Day Change $,-0.09
Day Change %,-0.0098
Day High,9.29
Day Low,9.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.445
Last (size),250.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",22.02
Prev Close,9.19
Shares Outstanding,130.3M
Short Interest,0.0121
Today's Open,9.15
Volume,460569.0
Volume 10-day Avg,1115483.0
Volume Past Day,(Light)
