,ECVT
Price/Earnings (TTM),22.0243
Price/Sales (TTM),1.46766
Price/Book (MRQ),1.60092
Price/Cash Flow (TTM),8.80429
5yr Low,8.2
5yr High,18.9
5yr Avg Return,-0.0713
EPS Growth 5yr,
Revenue Growth 5yr,-0.10497730000000001
Dividend Growth 5yr,
Short Int Current Month,1108834.0
Short Int Prev Month,1435617.0
Short Int Pct of Float,0.012139599999999999
Days to Cover,1.31991
Float,91.91026
Shares Outstanding,130.2531
Institutions Holding Shares,197.0
% Held by Institutions,0.602264
FCF Growth 5yr,-1.9596119929453264
