,MTSI
% Below High,0.1477
% Held by Institutions,0.7603
52-Wk Range,['42.85 - 80.30']
Annual Dividend $,
Annual Dividend %,
Ask,80.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,45.07
Bid Size,100.0
Closing Price,68.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.17
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.08
Prev Close,68.44
Shares Outstanding,70.7M
Short Interest,0.059699999999999996
Today's Open,
Volume,159650.0
Volume 10-day Avg,557870.0
Volume Past Day,(Light)
