,MTSI
Price/Earnings (TTM),11.08441
Price/Sales (TTM),7.16346
Price/Book (MRQ),5.68465
Price/Cash Flow (TTM),9.72772
5yr Low,12.33
5yr High,80.3
5yr Avg Return,0.27486666666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0068484
Dividend Growth 5yr,
Short Int Current Month,3084268.0
Short Int Prev Month,3724398.0
Short Int Pct of Float,0.059685800000000004
Days to Cover,4.04999
Float,51.66888
Shares Outstanding,70.66842
Institutions Holding Shares,314.0
% Held by Institutions,0.7603360000000001
FCF Growth 5yr,0.7590863639847488
