,NRG
% Below High,0.1184
% Held by Institutions,1.0167
52-Wk Range,['34.91 - 47.82']
Annual Dividend $,1.4
Annual Dividend %,0.0332
Ask,42.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,41.89
Bid Size,100.0
Change Since Close,0.04| |(0.09%)
Closing Price,42.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",7.88
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.327
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,42.2
Market Cap,9.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.35
Prev Close,42.16
Shares Outstanding,230.4M
Short Interest,0.0654
Today's Open,
Volume,129.0
Volume 10-day Avg,2368752.0
Volume Past Day,(Light)
