,NRG
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.11920529801324498
Growth 1yr High Est,1.6415525114155254
Growth 1yr Consensus Est,0.8803789047143852
Growth 2yr Low Est,0.1098985069947882
Growth 2yr High Est,0.5454953568313582
Growth 2yr Consensus Est,0.3276969319130732
Growth 5yr Low Est,0.0549492534973941
Growth 5yr High Est,0.2727476784156791
Growth 5yr Consensus Est,0.1638484659565366
Growth 5yr Actual/Est,0.5892636561806986
Growth 3yr Historic,0.7285411882893227
