,NRG
Price/Earnings (TTM),5.35001
Price/Sales (TTM),0.31603
Price/Book (MRQ),1.90768
Price/Cash Flow (TTM),3.50523
5yr Low,19.54
5yr High,47.82
5yr Avg Return,0.07533333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.24799569999999999
Dividend Growth 5yr,0.40791069999999996
Short Int Current Month,14927705.0
Short Int Prev Month,14524662.0
Short Int Pct of Float,0.0654246
Days to Cover,4.85011
Float,228.2446
Shares Outstanding,230.3842
Institutions Holding Shares,779.0
% Held by Institutions,1.016683
FCF Growth 5yr,2.197023627232276
