,BRP
% Below High,0.2339
% Held by Institutions,0.9267
52-Wk Range,['17.08 - 38.99']
Annual Dividend $,
Annual Dividend %,
Ask,33.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,24.0
Bid Size,200.0
Closing Price,29.87
Day Change $,0.44
Day Change %,0.015
Day High,30.21
Day Low,29.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),28.0
Last (time),12:59p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.43
Shares Outstanding,61.4M
Short Interest,0.0384
Today's Open,29.82
Volume,84794.0
Volume 10-day Avg,323789.0
Volume Past Day,(Light)
