,BRP
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.3513513513513513
Growth 1yr High Est,0.2749999999999999
Growth 1yr Consensus Est,0.3131756756756756
Growth 2yr Low Est,0.2406756756756756
Growth 2yr High Est,0.3237745098039214
Growth 2yr Consensus Est,0.2822250927397985
Growth 5yr Low Est,0.4595957495957495
Growth 5yr High Est,0.46222648479681716
Growth 5yr Consensus Est,0.46091111719628336
Growth 5yr Actual/Est,-0.1495902715271527
Growth 3yr Historic,-0.2746212121212121
