,BRP
Price/Earnings (TTM),
Price/Sales (TTM),3.87726
Price/Book (MRQ),5.30939
Price/Cash Flow (TTM),70.36985
5yr Low,8.35
5yr High,45.36
5yr Avg Return,0.203675
Short Int Current Month,2093966.0
Short Int Prev Month,2380775.0
Short Int Pct of Float,0.0384469
Days to Cover,5.47708
Float,54.47811
Shares Outstanding,116.029
Institutions Holding Shares,205.0
% Held by Institutions,0.926705
FCF Growth 5yr,0.7854522454142948
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
