,GWRE
% Above Low,0.1152
% Held by Institutions,1.0023
52-Wk Range,['52.08 - 119.46']
Annual Dividend $,
Annual Dividend %,
Ask,59.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,52.0
Bid Size,100.0
Closing Price,58.08
Day Change $,-0.23
Day Change %,-0.0039000000000000003
Day High,58.44
Day Low,57.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.16
Ex-dividend Date,No dividend
Historical Volatility,0.387
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,58.31
Shares Outstanding,81.9M
Short Interest,0.0783
Today's Open,57.9
Volume,523475.0
Volume 10-day Avg,1104626.0
Volume Past Day,(Light)
