,GWRE
Price/Earnings (TTM),
Price/Sales (TTM),5.85194
Price/Book (MRQ),3.36416
Price/Cash Flow (TTM),
5yr Low,52.08
5yr High,134.22
5yr Avg Return,-0.00948333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0978485
Dividend Growth 5yr,
Short Int Current Month,6382709.0
Short Int Prev Month,6605947.0
Short Int Pct of Float,0.078282
Days to Cover,5.3779
Float,81.63416
Shares Outstanding,81.87611
Institutions Holding Shares,512.0
% Held by Institutions,1.002256
FCF Growth 5yr,-0.12149375154876026
