,PEN
Price/Earnings (TTM),
Price/Sales (TTM),8.96645
Price/Book (MRQ),7.64004
Price/Cash Flow (TTM),
5yr Low,82.55
5yr High,320.0
5yr Avg Return,0.16238333333333332
EPS Growth 5yr,-0.20617280000000002
Revenue Growth 5yr,0.2320744
Dividend Growth 5yr,
Short Int Current Month,3102540.0
Short Int Prev Month,2804219.0
Short Int Pct of Float,0.085445
Days to Cover,5.51871
Float,36.30923
Shares Outstanding,37.9785
Institutions Holding Shares,352.0
% Held by Institutions,0.839569
FCF Growth 5yr,1.6058350499339726
