,PEN
% Above Low,0.7006
% Held by Institutions,0.8395999999999999
52-Wk Range,['114.87 - 290.36']
Annual Dividend $,
Annual Dividend %,
Ask,196.03
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.5
Bid,195.14
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0031
Day High,196.77
Day Low,192.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.81
Ex-dividend Date,No dividend
Historical Volatility,0.56
Last (size),100.0
Last (time),10:29a ET 11/28/22
Market Cap,7.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,195.94
Price,195.34
Shares Outstanding,38.0M
Short Interest,0.08539999999999999
Today's Open,193.84
Volume Past Day,(Light)
