,PEN
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,12.5
Growth 2yr High Est,6.833333333333333
Growth 2yr Consensus Est,9.666666666666666
Growth 5yr Low Est,12.5
Growth 5yr High Est,6.833333333333333
Growth 5yr Consensus Est,9.666666666666666
Growth 5yr Actual/Est,2.414824823209916
Growth 3yr Historic,1.096243042671614
