,AMCX
Price/Earnings (TTM),3.15919
Price/Sales (TTM),0.30613
Price/Book (MRQ),0.89628
Price/Cash Flow (TTM),2.15699
5yr Low,17.45
5yr High,83.63
5yr Avg Return,-0.11551666666666667
EPS Growth 5yr,0.090792
Revenue Growth 5yr,0.0223456
Dividend Growth 5yr,
Short Int Current Month,1121235.0
Short Int Prev Month,1326593.0
Short Int Pct of Float,0.0406435
Days to Cover,2.40198
Float,27.58705
Shares Outstanding,42.97998
Institutions Holding Shares,269.0
% Held by Institutions,0.8564449999999999
FCF Growth 5yr,-1.308757222515846
