,AMCX
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.23102310231023093
Growth 1yr High Est,-0.16125654450261784
Growth 1yr Consensus Est,-0.19613982340642439
Growth 2yr Low Est,-0.20134846102636011
Growth 2yr High Est,-0.10996659934244496
Growth 2yr Consensus Est,-0.15565753018440254
Growth 5yr Low Est,-0.07588583873567098
Growth 5yr High Est,-0.056285383004555795
Growth 5yr Consensus Est,-0.06608561087011339
Growth 5yr Actual/Est,-0.061311110450927575
Growth 3yr Historic,0.019844248712730356
