,AMCX
% Above Low,0.19829999999999998
% Held by Institutions,0.8564
52-Wk Range,['17.45 - 44.66']
Annual Dividend $,
Annual Dividend %,
Ask,21.19
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.1
Bid,20.63
Bid Size,100.0
Closing Price,20.91
Day Change $,-0.11
Day Change %,-0.0052
Day High,21.25
Day Low,20.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.62
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),483.0
Last (time),1:00p ET 11/25/22
Market Cap,898.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.16
Prev Close,21.02
Shares Outstanding,43.0M
Short Interest,0.0406
Today's Open,21.0
Volume,275230.0
Volume 10-day Avg,329311.0
Volume Past Day,(Below Average)
