,PLUS
Price/Earnings (TTM),13.66735
Price/Sales (TTM),0.7346
Price/Book (MRQ),1.97626
Price/Cash Flow (TTM),11.31253
5yr Low,21.27
5yr High,69.74
5yr Avg Return,0.044050000000000006
EPS Growth 5yr,0.8524276000000001
Revenue Growth 5yr,0.0645756
Dividend Growth 5yr,
Short Int Current Month,386605.0
Short Int Prev Month,422018.0
Short Int Pct of Float,0.014692700000000001
Days to Cover,4.55682
Float,26.32403
Shares Outstanding,26.90671
Institutions Holding Shares,252.0
% Held by Institutions,0.934671
FCF Growth 5yr,0.2884545184080339
