,PLUS
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.34359805510534847
Growth 1yr High Est,-0.2653721682847896
Growth 1yr Consensus Est,-0.30448511169506903
Growth 2yr Low Est,-0.06562618804650139
Growth 2yr High Est,-0.09193718546398066
Growth 2yr Consensus Est,-0.07878168675524103
Growth 5yr Low Est,-0.007857657303108084
Growth 5yr High Est,-0.04268990420740015
Growth 5yr Consensus Est,-0.02527378075525412
Growth 5yr Actual/Est,0.13406284968472088
Growth 3yr Historic,0.10381587411801946
