,PLUS
% Above Low,0.2777
% Held by Institutions,0.9347
52-Wk Range,['40.37 - 62.82']
Annual Dividend $,
Annual Dividend %,
Ask,51.68
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,51.29
Bid Size,200.0
Day Change $,-0.25
Day Change %,-0.0048
Day High,51.81
Day Low,51.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.79
Ex-dividend Date,No dividend
Historical Volatility,0.381
Last (size),100.0
Last (time),10:53a ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.67
Prev Close,51.83
Price,51.58
Shares Outstanding,26.9M
Short Interest,0.0147
Today's Open,51.29
Volume Past Day,(Light)
