,BGS
% Above Low,0.07
% Held by Institutions,0.654
52-Wk Range,['12.29 - 34.27']
Annual Dividend $,0.76
Annual Dividend %,0.057800000000000004
Ask,13.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,12.3
Bid Size,100.0
Closing Price,13.15
Day Change $,-0.24
Day Change %,-0.0179
Day High,13.53
Day Low,13.11
Dividend Pay Date,2023-01-30 00:00:00
"EPS (TTM, GAAP)",-0.55
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.373
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,942.4M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.39
Shares Outstanding,71.7M
Short Interest,0.1653
Today's Open,13.47
Volume,840677.0
Volume 10-day Avg,1941604.0
Volume Past Day,(Light)
