,BGS
Price/Earnings (TTM),
Price/Sales (TTM),0.44632
Price/Book (MRQ),1.11988
Price/Cash Flow (TTM),22.11668
5yr Low,10.39
5yr High,47.84
5yr Avg Return,-0.08526666666666666
EPS Growth 5yr,-0.0979199
Revenue Growth 5yr,0.0842402
Dividend Growth 5yr,0.033678599999999996
Short Int Current Month,11599912.0
Short Int Prev Month,11259018.0
Short Int Pct of Float,0.16532039999999998
Days to Cover,6.80851
Float,68.74486
Shares Outstanding,71.66814
Institutions Holding Shares,329.0
% Held by Institutions,0.654037
FCF Growth 5yr,-3.502197693271292
