,SBSI
% Above Low,0.1539
% Held by Institutions,0.5252
52-Wk Range,['31.18 - 44.75']
Annual Dividend $,1.36
Annual Dividend %,0.0373
Ask,36.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.5
Bid,35.88
Bid Size,300.0
Day Change $,-0.49
Day Change %,-0.0134
Day High,36.45
Day Low,35.95
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.25
Last (size),12.0
Last (time),1:43p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.13
Prev Close,36.47
Price,35.98
Shares Outstanding,32.1M
Short Interest,0.0406
Today's Open,36.13
Volume Past Day,(Light)
