,SBSI
Price/Earnings (TTM),11.13479
Price/Sales (TTM),4.74033
Price/Book (MRQ),1.65575
Price/Cash Flow (TTM),9.99394
5yr Low,23.51
5yr High,45.36
5yr Avg Return,0.013483333333333337
EPS Growth 5yr,0.1387513
Revenue Growth 5yr,0.0503956
Dividend Growth 5yr,0.0744687
Short Int Current Month,1237911.0
Short Int Prev Month,1430207.0
Short Int Pct of Float,0.0406237
Days to Cover,11.14603
Float,30.50181
Shares Outstanding,32.10502
Institutions Holding Shares,219.0
% Held by Institutions,0.525227
FCF Growth 5yr,0.2266901047388852
