,SLDP
% Above Low,0.0045000000000000005
% Held by Institutions,0.2954
52-Wk Range,['4.40 - 14.85']
Annual Dividend $,
Annual Dividend %,
Ask,4.43
Ask Size,800.0
B/A Ratio,1.75
B/A Size,1400x800
Beta,
Bid,4.42
Bid Size,1400.0
Day Change $,-0.13
Day Change %,-0.0286
Day High,4.58
Day Low,4.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.71
Ex-dividend Date,No dividend
Historical Volatility,0.785
Last (size),3.0
Last (time),2:33p ET 11/28/22
Market Cap,776.2M
"P/E Ratio (TTM, GAAP)",2.66
Prev Close,4.55
Price,4.42
Shares Outstanding,175.8M
Short Interest,0.0527
Today's Open,4.51
Volume Past Day,(Below Average)
