,SLDP
Price/Earnings (TTM),2.66101
Price/Sales (TTM),92.65177
Price/Book (MRQ),1.4461
Price/Cash Flow (TTM),21.02158
5yr Low,4.47
5yr High,14.85
5yr Avg Return,-0.31635
Short Int Current Month,6156725.0
Short Int Prev Month,7170846.0
Short Int Pct of Float,0.0527114
Days to Cover,5.05367
Float,124.9074
Shares Outstanding,175.8144
Institutions Holding Shares,165.0
% Held by Institutions,0.29539000000000004
FCF Growth 5yr,0.42077972709551664
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
