,MGPI
Price/Earnings (TTM),23.74326
Price/Sales (TTM),3.64048
Price/Book (MRQ),3.80823
Price/Cash Flow (TTM),19.75842
5yr Low,21.64
5yr High,124.96
5yr Avg Return,0.1449
EPS Growth 5yr,0.18908429999999998
Revenue Growth 5yr,0.1451371
Dividend Growth 5yr,0.3195079
Short Int Current Month,2370133.0
Short Int Prev Month,2504867.0
Short Int Pct of Float,0.1859844
Days to Cover,17.07638
Float,12.75415
Shares Outstanding,21.99404
Institutions Holding Shares,297.0
% Held by Institutions,0.808802
FCF Growth 5yr,0.3870588553654499
