,MGPI
% Below High,0.0019
% Held by Institutions,0.8088
52-Wk Range,['71.35 - 125.74']
Annual Dividend $,0.48
Annual Dividend %,0.0038
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,125.5
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.37200000000000005
Last (size),60.0
Last (time),1:00p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.74
Prev Close,125.5
Shares Outstanding,22.0M
Short Interest,0.18600000000000003
Today's Open,
Volume,44534.0
Volume 10-day Avg,107976.0
Volume Past Day,(Light)
