,MGPI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,1.127272727272727
Growth 1yr High Est,1.1936936936936937
Growth 1yr Consensus Est,1.1604832104832103
Growth 2yr Low Est,0.5807303807303806
Growth 2yr High Est,0.6358612205634793
Growth 2yr Consensus Est,0.6082958006469299
Growth 5yr Low Est,0.2903651903651903
Growth 5yr High Est,0.31793061028173963
Growth 5yr Consensus Est,0.30414790032346495
Growth 5yr Actual/Est,0.24463394482925094
Growth 3yr Historic,0.19874247503378561
