,SON
% Below High,0.102
% Held by Institutions,0.7679
52-Wk Range,['51.52 - 67.06']
Annual Dividend $,1.96
Annual Dividend %,0.032
Ask,60.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,60.2
Bid Size,100.0
Day Change $,-1.03
Day Change %,-0.0168
Day High,60.83
Day Low,60.12
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.282
Last (size),1.0
Last (time),2:53p ET 11/28/22
Market Cap,5.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.91
Prev Close,61.25
Price,60.22
Shares Outstanding,97.5M
Short Interest,0.0113
Today's Open,60.83
Volume Past Day,(Light)
