,SON
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.7138810198300283
Growth 1yr High Est,0.8258426966292134
Growth 1yr Consensus Est,0.7698618582296208
Growth 2yr Low Est,0.2536347247910472
Growth 2yr High Est,0.3821521175453759
Growth 2yr Consensus Est,0.31789342116821157
Growth 5yr Low Est,0.12825482837266025
Growth 5yr High Est,0.19241783725422812
Growth 5yr Consensus Est,0.1603363328134442
Growth 5yr Actual/Est,0.17864144640147597
Growth 3yr Historic,0.0017653460493632367
