,SON
Price/Earnings (TTM),13.90513
Price/Sales (TTM),0.85156
Price/Book (MRQ),3.09685
Price/Cash Flow (TTM),8.39987
5yr Low,37.3
5yr High,69.83
5yr Avg Return,0.026549999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.031695
Dividend Growth 5yr,0.042759
Short Int Current Month,1092839.0
Short Int Prev Month,1863182.0
Short Int Pct of Float,0.0112655
Days to Cover,1.8234
Float,97.04975
Shares Outstanding,97.51223
Institutions Holding Shares,553.0
% Held by Institutions,0.767884
FCF Growth 5yr,-0.8839853886712615
