,UDMY
% Above Low,0.6323
% Held by Institutions,0.7371
52-Wk Range,['9.47 - 28.50']
Annual Dividend $,
Annual Dividend %,
Ask,16.17
Ask Size,100.0
B/A Ratio,45.0
B/A Size,4500x100
Beta,
Bid,12.6
Bid Size,4500.0
Closing Price,15.45
Day Change $,-0.24
Day Change %,-0.015300000000000001
Day High,15.96
Day Low,15.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.01
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.69
Shares Outstanding,141.3M
Short Interest,0.015600000000000001
Today's Open,15.6
Volume,396529.0
Volume 10-day Avg,463467.0
Volume Past Day,(Below Average)
