,UDMY
Price/Earnings (TTM),
Price/Sales (TTM),3.7004
Price/Book (MRQ),6.21676
Price/Cash Flow (TTM),
5yr Low,9.47
5yr High,32.62
5yr Avg Return,-0.24100000000000002
Short Int Current Month,1971688.0
Short Int Prev Month,2899568.0
Short Int Pct of Float,0.015632
Days to Cover,3.91878
Float,128.5079
Shares Outstanding,141.3224
Institutions Holding Shares,117.0
% Held by Institutions,0.737119
FCF Growth 5yr,0.2799463327125398
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
