,IT
Price/Earnings (TTM),36.94676
Price/Sales (TTM),5.12963
Price/Book (MRQ),
Price/Cash Flow (TTM),28.33916
5yr Low,76.91
5yr High,369.0
5yr Avg Return,0.2399666666666667
EPS Growth 5yr,0.3186638
Revenue Growth 5yr,0.141315
Dividend Growth 5yr,
Short Int Current Month,1277943.0
Short Int Prev Month,1170838.0
Short Int Pct of Float,0.016695
Days to Cover,2.27433
Float,76.56139
Shares Outstanding,79.02438
Institutions Holding Shares,983.0
% Held by Institutions,0.924782
FCF Growth 5yr,0.749714868992891
