,IT
% Below High,0.0109
% Held by Institutions,0.9248000000000001
52-Wk Range,['221.39 - 346.35']
Annual Dividend $,
Annual Dividend %,
Ask,343.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,291.26
Bid Size,100.0
Closing Price,342.57
Day Change $,-0.7
Day Change %,-0.002
Day High,346.26
Day Low,342.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.27
Ex-dividend Date,No dividend
Historical Volatility,0.373
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,27.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.95
Prev Close,343.27
Shares Outstanding,79.0M
Short Interest,0.0167
Today's Open,344.3
Volume,337531.0
Volume 10-day Avg,378703.0
Volume Past Day,(Below Average)
