,BHIL
% Above Low,0.37770000000000004
% Held by Institutions,0.3475
52-Wk Range,['2.33 - 7.95']
Annual Dividend $,
Annual Dividend %,
Ask,3.45
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,2.81
Bid Size,100.0
Closing Price,3.21
Day Change $,0.04
Day Change %,0.0126
Day High,3.24
Day Low,3.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.65
Ex-dividend Date,No dividend
Historical Volatility,0.948
Last (size),82.0
Last (time),5:00p ET 11/25/22
Market Cap,663.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.17
Shares Outstanding,206.5M
Short Interest,0.0444
Today's Open,3.17
Volume,117964.0
Volume 10-day Avg,761864.0
Volume Past Day,(Light)
