,ALXO
% Above Low,0.8351000000000001
% Held by Institutions,1.0088
52-Wk Range,['5.82 - 36.25']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,
Bid,10.01
Bid Size,200.0
Closing Price,10.68
Day Change $,0.06
Day Change %,0.005600000000000001
Day High,10.8
Day Low,10.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.98
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,432.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.62
Shares Outstanding,40.8M
Short Interest,0.1424
Today's Open,10.61
Volume,30146.0
Volume 10-day Avg,156101.0
Volume Past Day,(Light)
