,ATEC
% Below High,0.2857
% Held by Institutions,0.4885
52-Wk Range,['5.73 - 13.65']
Annual Dividend $,
Annual Dividend %,
Ask,9.95
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,9.26
Bid Size,200.0
Closing Price,9.75
Day Change $,0.16
Day Change %,0.0167
Day High,9.81
Day Low,9.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.55
Ex-dividend Date,No dividend
Historical Volatility,0.636
Last (size),34.0
Last (time),12:59p ET 11/25/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.59
Shares Outstanding,105.1M
Short Interest,0.0794
Today's Open,9.5
Volume,232293.0
Volume 10-day Avg,700489.0
Volume Past Day,(Light)
