,ATEC
Price/Earnings (TTM),
Price/Sales (TTM),3.21219
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.18
5yr High,19.36
5yr Avg Return,0.4324
EPS Growth 5yr,
Revenue Growth 5yr,0.1512812
Dividend Growth 5yr,
Short Int Current Month,5315923.0
Short Int Prev Month,5667069.0
Short Int Pct of Float,0.079352
Days to Cover,7.39041
Float,68.08014
Shares Outstanding,105.0583
Institutions Holding Shares,206.0
% Held by Institutions,0.488491
FCF Growth 5yr,0.2477656677897638
