,DRQ
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.7294117647058823
Growth 1yr High Est,-0.6884057971014492
Growth 1yr Consensus Est,-0.7089087809036658
Growth 2yr Low Est,-0.8647058823529412
Growth 2yr High Est,-1.239551735760027
Growth 2yr Consensus Est,-1.0521288090564842
Growth 5yr Low Est,-0.8647058823529412
Growth 5yr High Est,-1.239551735760027
Growth 5yr Consensus Est,-1.0521288090564842
Growth 5yr Actual/Est,-1.7801424963924966
Growth 3yr Historic,-1.25875
