,ANTM
% Below High,0.0649
% Held by Institutions,0.9085
52-Wk Range,['392.40 - 549.52']
Annual Dividend $,5.12
Annual Dividend %,0.01
Ask,550.0
Ask Size,120.0
B/A Ratio,0.08333333333333333
B/A Size,10x120
Beta,0.9
Bid,506.0
Bid Size,10.0
Closing Price,513.86
Day Change $,6.7
Day Change %,0.0132
Day High,514.73
Day Low,508.36
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",25.49
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.277
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,122.7B
"P/E Ratio (TTM, GAAP)",20.16
Prev Close,507.16
Shares Outstanding,238.8M
Short Interest,0.008199999999999999
Today's Open,509.67
Volume,464048.0
Volume 10-day Avg,1409175.0
Volume Past Day,(Light)
