,ANTM
Price/Earnings (TTM),20.16194
Price/Sales (TTM),0.80082
Price/Book (MRQ),3.41195
Price/Cash Flow (TTM),15.84557
5yr Low,171.03
5yr High,549.52
5yr Avg Return,0.16206666666666666
EPS Growth 5yr,0.21837489999999998
Revenue Growth 5yr,0.1028473
Dividend Growth 5yr,0.1169482
Short Int Current Month,1937192.0
Short Int Prev Month,2221681.0
Short Int Pct of Float,0.0081518
Days to Cover,1.56204
Float,237.6741
Shares Outstanding,238.8276
Institutions Holding Shares,1966.0
% Held by Institutions,0.908491
FCF Growth 5yr,0.43227125795067306
