,AMPL
% Above Low,0.0646
% Held by Institutions,0.6718000000000001
52-Wk Range,['13.15 - 72.17']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,13.5
Bid Size,500.0
Closing Price,14.0
Day Change $,-0.02
Day Change %,-0.0014000000000000002
Day High,14.13
Day Low,13.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.171
Last (size),27.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.02
Shares Outstanding,113.1M
Short Interest,0.0484
Today's Open,13.88
Volume,103799.0
Volume 10-day Avg,475128.0
Volume Past Day,(Light)
