,AMPL
Price/Earnings (TTM),
Price/Sales (TTM),7.12747
Price/Book (MRQ),5.36704
Price/Cash Flow (TTM),
5yr Low,13.15
5yr High,87.98
5yr Avg Return,-0.3385
Short Int Current Month,3080132.0
Short Int Prev Month,3766594.0
Short Int Pct of Float,0.0484171
Days to Cover,4.41215
Float,64.75221
Shares Outstanding,113.1399
Institutions Holding Shares,168.0
% Held by Institutions,0.671762
FCF Growth 5yr,6.457101403817121
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
