,HP
Price/Earnings (TTM),1077.975
Price/Sales (TTM),2.58051
Price/Book (MRQ),1.92123
Price/Cash Flow (TTM),12.96762
5yr Low,12.4
5yr High,75.02
5yr Avg Return,0.07784999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.0267056
Dividend Growth 5yr,-0.186105
Short Int Current Month,4977024.0
Short Int Prev Month,4858854.0
Short Int Pct of Float,0.0489191
Days to Cover,5.02141
Float,101.8383
Shares Outstanding,105.2937
Institutions Holding Shares,439.0
% Held by Institutions,0.942261
FCF Growth 5yr,-0.08457009240477802
