,HP
% Below High,0.0757
% Held by Institutions,0.9423
52-Wk Range,['20.93 - 54.59']
Annual Dividend $,1.0
Annual Dividend %,0.019799999999999998
Ask,53.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,44.47
Bid Size,100.0
Closing Price,50.46
Day Change $,-1.32
Day Change %,-0.0255
Day High,51.74
Day Low,50.43
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",0.05
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.585
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1077.98
Prev Close,51.78
Shares Outstanding,105.4M
Short Interest,0.0489
Today's Open,51.6
Volume,485528.0
Volume 10-day Avg,1096538.0
Volume Past Day,(Light)
