,VIVO
% Below High,0.08130000000000001
% Held by Institutions,0.8729
52-Wk Range,['17.20 - 34.38']
Annual Dividend $,
Annual Dividend %,
Ask,32.26
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,0.3
Bid,30.95
Bid Size,1700.0
Closing Price,31.58
Day Change $,-0.34
Day Change %,-0.010700000000000001
Day High,32.08
Day Low,31.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.34
Last (size),2.0
Last (time),4:00p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",33.36
Prev Close,31.92
Shares Outstanding,43.8M
Short Interest,0.044800000000000006
Today's Open,31.82
Volume,186491.0
Volume 10-day Avg,251584.0
Volume Past Day,(Light)
