,VIVO
Price/Earnings (TTM),33.35563
Price/Sales (TTM),4.20093
Price/Book (MRQ),3.79466
Price/Cash Flow (TTM),23.72366
5yr Low,5.51
5yr High,34.38
5yr Avg Return,0.2164
EPS Growth 5yr,0.1357186
Revenue Growth 5yr,0.1065049
Dividend Growth 5yr,
Short Int Current Month,1939096.0
Short Int Prev Month,2027542.0
Short Int Pct of Float,0.0448411
Days to Cover,7.46449
Float,43.23932
Shares Outstanding,43.82782
Institutions Holding Shares,278.0
% Held by Institutions,0.872916
FCF Growth 5yr,0.344518676240785
