,MTN
% Above Low,0.316
% Held by Institutions,0.9469
52-Wk Range,['201.91 - 348.42']
Annual Dividend $,7.64
Annual Dividend %,0.0288
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,146.25
Bid Size,
Closing Price,265.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",8.49
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.373
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.3
Prev Close,265.72
Shares Outstanding,40.3M
Short Interest,0.024399999999999998
Today's Open,
Volume,200176.0
Volume 10-day Avg,565256.0
Volume Past Day,(Light)
