,MTN
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.031766200762388674
Growth 1yr High Est,0.12148481439820014
Growth 1yr Consensus Est,0.0766255075802944
Growth 2yr Low Est,0.08792743535656378
Growth 2yr High Est,0.10688082244483732
Growth 2yr Consensus Est,0.09740412890070055
Growth 5yr Low Est,0.6933046371011778
Growth 5yr High Est,0.4696077910949122
Growth 5yr Consensus Est,0.5814562140980449
Growth 5yr Actual/Est,0.5516137380895877
Growth 3yr Historic,0.5062544556808282
