,SG
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1217948717948718
Growth 2yr High Est,-0.34751773049645385
Growth 2yr Consensus Est,-0.23465630114566283
Growth 5yr Low Est,-0.1217948717948718
Growth 5yr High Est,-0.34751773049645385
Growth 5yr Consensus Est,-0.23465630114566283
Growth 5yr Actual/Est,-0.4888042211031118
Growth 3yr Historic,0.0
