,SG
% Above Low,0.1948
% Held by Institutions,0.9538
52-Wk Range,['10.78 - 44.22']
Annual Dividend $,
Annual Dividend %,
Ask,12.9
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,
Bid,12.86
Bid Size,200.0
Day Change $,0.24
Day Change %,0.019
Day High,12.95
Day Low,12.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.63
Ex-dividend Date,No dividend
Historical Volatility,0.9400000000000001
Last (size),100.0
Last (time),2:04p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.64
Price,12.88
Shares Outstanding,110.8M
Short Interest,0.20079999999999998
Today's Open,12.51
Volume Past Day,(Light)
