,VCEL
% Above Low,0.21910000000000002
% Held by Institutions,1.0885
52-Wk Range,['17.30 - 43.97']
Annual Dividend $,
Annual Dividend %,
Ask,21.12
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,8.35
Bid Size,200.0
Closing Price,21.09
Day Change $,-0.38
Day Change %,-0.0177
Day High,21.74
Day Low,20.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.38
Ex-dividend Date,No dividend
Historical Volatility,0.7070000000000001
Last (size),25.0
Last (time),4:00p ET 11/28/22
Market Cap,995.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.47
Shares Outstanding,47.2M
Short Interest,0.1338
Today's Open,21.34
Volume,290191.0
Volume 10-day Avg,383364.0
Volume Past Day,(Light)
