,VCEL
Price/Earnings (TTM),
Price/Sales (TTM),6.3661
Price/Book (MRQ),5.69851
Price/Cash Flow (TTM),
5yr Low,3.9
5yr High,68.94
5yr Avg Return,0.5127833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.23490819999999998
Dividend Growth 5yr,
Short Int Current Month,6271646.0
Short Int Prev Month,6791392.0
Short Int Pct of Float,0.1337804
Days to Cover,9.018
Float,46.8885
Shares Outstanding,47.22299
Institutions Holding Shares,253.0
% Held by Institutions,1.088519
FCF Growth 5yr,1.252932974117687
