,HRI
% Above Low,0.5882000000000001
% Held by Institutions,0.9670000000000001
52-Wk Range,['83.43 - 189.59']
Annual Dividend $,2.3
Annual Dividend %,0.0174
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.5
Bid,131.55
Bid Size,
Closing Price,132.5
Day Change $,0.41
Day Change %,0.0031
Day High,134.48
Day Low,131.38
Dividend Pay Date,2022-09-02 00:00:00
"EPS (TTM, GAAP)",10.03
Ex-dividend,2022-08-18 00:00:00
Ex-dividend Date,08/18/22
Historical Volatility,0.556
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.21
Prev Close,132.09
Shares Outstanding,29.3M
Short Interest,0.0239
Today's Open,131.64
Volume,43573.0
Volume 10-day Avg,154462.0
Volume Past Day,(Light)
