,HRI
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.5172413793103448
Growth 1yr High Est,0.5796915167095114
Growth 1yr Consensus Est,0.548466448009928
Growth 2yr Low Est,0.2827115987460814
Growth 2yr High Est,0.41759189342391767
Growth 2yr Consensus Est,0.35015174608499955
Growth 5yr Low Est,0.2827115987460814
Growth 5yr High Est,0.41759189342391767
Growth 5yr Consensus Est,0.35015174608499955
Growth 5yr Actual/Est,0.7673294362931531
Growth 3yr Historic,0.5862411593257648
