,HRI
Price/Earnings (TTM),13.2148
Price/Sales (TTM),1.53181
Price/Book (MRQ),3.59662
Price/Cash Flow (TTM),4.33249
5yr Low,11.81
5yr High,203.14
5yr Avg Return,0.32306666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0592272
Dividend Growth 5yr,
Short Int Current Month,692890.0
Short Int Prev Month,673438.0
Short Int Pct of Float,0.0239286
Days to Cover,3.5829
Float,28.96842
Shares Outstanding,29.2582
Institutions Holding Shares,317.0
% Held by Institutions,0.9669920000000001
FCF Growth 5yr,-0.5910594598773693
