,PPBI
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.14782608695652177
Growth 1yr High Est,-0.15193370165745868
Growth 1yr Consensus Est,-0.14987989430699022
Growth 2yr Low Est,-0.08581780538302275
Growth 2yr High Est,-0.0661948638580453
Growth 2yr Consensus Est,-0.07600633462053402
Growth 5yr Low Est,0.04935300207039339
Growth 5yr High Est,0.06767776186942698
Growth 5yr Consensus Est,0.058515381969910185
Growth 5yr Actual/Est,0.7267559618342956
Growth 3yr Historic,0.7654487179487179
