,PPBI
% Below High,0.18539999999999998
% Held by Institutions,0.9481999999999999
52-Wk Range,['27.92 - 44.57']
Annual Dividend $,1.32
Annual Dividend %,0.0358
Ask,36.34
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,36.27
Bid Size,100.0
Day Change $,-0.6125
Day Change %,-0.0166
Day High,36.92
Day Low,36.03
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.32799999999999996
Last (size),3.0
Last (time),11:21a ET 11/28/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.89
Prev Close,36.92
Price,36.31
Shares Outstanding,95.0M
Short Interest,0.0184
Today's Open,36.59
Volume Past Day,(Light)
