,PPBI
Price/Earnings (TTM),11.88801
Price/Sales (TTM),4.48593
Price/Book (MRQ),1.28245
Price/Cash Flow (TTM),10.81607
5yr Low,13.93
5yr High,47.46
5yr Avg Return,0.01073333333333334
EPS Growth 5yr,0.1960963
Revenue Growth 5yr,0.3313015
Dividend Growth 5yr,
Short Int Current Month,1716141.0
Short Int Prev Month,2277901.0
Short Int Pct of Float,0.0184219
Days to Cover,5.14474
Float,93.31815
Shares Outstanding,95.01208
Institutions Holding Shares,310.0
% Held by Institutions,0.94818
FCF Growth 5yr,0.1982849417307632
