,XPRO
Price/Earnings (TTM),
Price/Sales (TTM),1.33826
Price/Book (MRQ),1.52327
Price/Cash Flow (TTM),27.39167
5yr Low,8.83
5yr High,58.5
5yr Avg Return,-0.09376666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1111445
Dividend Growth 5yr,
Short Int Current Month,3189732.0
Short Int Prev Month,3252804.0
Short Int Pct of Float,0.0317746
Days to Cover,4.35047
Float,100.4044
Shares Outstanding,108.7424
Institutions Holding Shares,139.0
% Held by Institutions,0.825487
FCF Growth 5yr,0.19825560587899604
